path,filename,model_type,category,width,height,aspect_ratio,megapixels,size_bytes,format
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/61_adm_48.PNG,61_adm_48.PNG,ADM,ai,256,256,1.0,0.07,156526,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/178_adm_48.PNG,178_adm_48.PNG,ADM,ai,256,256,1.0,0.07,148347,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/418_adm_114.PNG,418_adm_114.PNG,ADM,ai,256,256,1.0,0.07,62364,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/84_adm_137.PNG,84_adm_137.PNG,ADM,ai,256,256,1.0,0.07,188952,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/428_adm_50.PNG,428_adm_50.PNG,ADM,ai,256,256,1.0,0.07,171872,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/661_adm_163.PNG,661_adm_163.PNG,ADM,ai,256,256,1.0,0.07,146463,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/780_adm_178.PNG,780_adm_178.PNG,ADM,ai,256,256,1.0,0.07,89799,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/747_adm_64.PNG,747_adm_64.PNG,ADM,ai,256,256,1.0,0.07,64939,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/364_adm_184.PNG,364_adm_184.PNG,ADM,ai,256,256,1.0,0.07,139574,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/342_adm_21.PNG,342_adm_21.PNG,ADM,ai,256,256,1.0,0.07,155341,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/306_adm_29.PNG,306_adm_29.PNG,ADM,ai,256,256,1.0,0.07,100724,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/179_adm_73.PNG,179_adm_73.PNG,ADM,ai,256,256,1.0,0.07,175917,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/561_adm_163.PNG,561_adm_163.PNG,ADM,ai,256,256,1.0,0.07,126438,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/229_adm_44.PNG,229_adm_44.PNG,ADM,ai,256,256,1.0,0.07,111772,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/284_adm_130.PNG,284_adm_130.PNG,ADM,ai,256,256,1.0,0.07,157964,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/868_adm_171.PNG,868_adm_171.PNG,ADM,ai,256,256,1.0,0.07,142729,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/132_adm_89.PNG,132_adm_89.PNG,ADM,ai,256,256,1.0,0.07,120427,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/592_adm_148.PNG,592_adm_148.PNG,ADM,ai,256,256,1.0,0.07,130323,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/937_adm_156.PNG,937_adm_156.PNG,ADM,ai,256,256,1.0,0.07,123728,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/240_adm_16.PNG,240_adm_16.PNG,ADM,ai,256,256,1.0,0.07,120058,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/859_adm_80.PNG,859_adm_80.PNG,ADM,ai,256,256,1.0,0.07,92095,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/39_adm_131.PNG,39_adm_131.PNG,ADM,ai,256,256,1.0,0.07,168542,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/28_adm_91.PNG,28_adm_91.PNG,ADM,ai,256,256,1.0,0.07,154291,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/396_adm_191.PNG,396_adm_191.PNG,ADM,ai,256,256,1.0,0.07,138094,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/737_adm_107.PNG,737_adm_107.PNG,ADM,ai,256,256,1.0,0.07,129926,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/823_adm_157.PNG,823_adm_157.PNG,ADM,ai,256,256,1.0,0.07,99971,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/848_adm_6.PNG,848_adm_6.PNG,ADM,ai,256,256,1.0,0.07,60917,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/186_adm_180.PNG,186_adm_180.PNG,ADM,ai,256,256,1.0,0.07,156626,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/750_adm_181.PNG,750_adm_181.PNG,ADM,ai,256,256,1.0,0.07,125138,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/693_adm_185.PNG,693_adm_185.PNG,ADM,ai,256,256,1.0,0.07,154031,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/551_adm_189.PNG,551_adm_189.PNG,ADM,ai,256,256,1.0,0.07,103422,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/599_adm_139.PNG,599_adm_139.PNG,ADM,ai,256,256,1.0,0.07,139088,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/932_adm_79.PNG,932_adm_79.PNG,ADM,ai,256,256,1.0,0.07,81497,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/766_adm_143.PNG,766_adm_143.PNG,ADM,ai,256,256,1.0,0.07,136362,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/81_adm_63.PNG,81_adm_63.PNG,ADM,ai,256,256,1.0,0.07,186387,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/16_adm_127.PNG,16_adm_127.PNG,ADM,ai,256,256,1.0,0.07,114355,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/57_adm_113.PNG,57_adm_113.PNG,ADM,ai,256,256,1.0,0.07,198875,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/251_adm_59.PNG,251_adm_59.PNG,ADM,ai,256,256,1.0,0.07,129258,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/925_adm_123.PNG,925_adm_123.PNG,ADM,ai,256,256,1.0,0.07,84064,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/100_adm_99.PNG,100_adm_99.PNG,ADM,ai,256,256,1.0,0.07,93990,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/95_adm_154.PNG,95_adm_154.PNG,ADM,ai,256,256,1.0,0.07,116917,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/775_adm_111.PNG,775_adm_111.PNG,ADM,ai,256,256,1.0,0.07,136384,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/722_adm_188.PNG,722_adm_188.PNG,ADM,ai,256,256,1.0,0.07,109216,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/461_adm_143.PNG,461_adm_143.PNG,ADM,ai,256,256,1.0,0.07,122551,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/764_adm_177.PNG,764_adm_177.PNG,ADM,ai,256,256,1.0,0.07,82161,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/441_adm_179.PNG,441_adm_179.PNG,ADM,ai,256,256,1.0,0.07,64544,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/502_adm_145.PNG,502_adm_145.PNG,ADM,ai,256,256,1.0,0.07,127641,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/133_adm_40.PNG,133_adm_40.PNG,ADM,ai,256,256,1.0,0.07,161972,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/465_adm_141.PNG,465_adm_141.PNG,ADM,ai,256,256,1.0,0.07,65735,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/990_adm_157.PNG,990_adm_157.PNG,ADM,ai,256,256,1.0,0.07,99859,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/869_adm_176.PNG,869_adm_176.PNG,ADM,ai,256,256,1.0,0.07,67066,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/540_adm_41.PNG,540_adm_41.PNG,ADM,ai,256,256,1.0,0.07,119811,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/274_adm_6.PNG,274_adm_6.PNG,ADM,ai,256,256,1.0,0.07,117861,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/855_adm_84.PNG,855_adm_84.PNG,ADM,ai,256,256,1.0,0.07,105441,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/507_adm_162.PNG,507_adm_162.PNG,ADM,ai,256,256,1.0,0.07,79517,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/743_adm_145.PNG,743_adm_145.PNG,ADM,ai,256,256,1.0,0.07,116281,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/820_adm_20.PNG,820_adm_20.PNG,ADM,ai,256,256,1.0,0.07,129941,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/503_adm_114.PNG,503_adm_114.PNG,ADM,ai,256,256,1.0,0.07,109408,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/739_adm_14.PNG,739_adm_14.PNG,ADM,ai,256,256,1.0,0.07,94127,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/73_adm_162.PNG,73_adm_162.PNG,ADM,ai,256,256,1.0,0.07,45282,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/200_adm_89.PNG,200_adm_89.PNG,ADM,ai,256,256,1.0,0.07,127367,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/511_adm_12.PNG,511_adm_12.PNG,ADM,ai,256,256,1.0,0.07,161610,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/607_adm_99.PNG,607_adm_99.PNG,ADM,ai,256,256,1.0,0.07,91466,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/202_adm_110.PNG,202_adm_110.PNG,ADM,ai,256,256,1.0,0.07,123494,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/333_adm_146.PNG,333_adm_146.PNG,ADM,ai,256,256,1.0,0.07,122036,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/298_adm_175.PNG,298_adm_175.PNG,ADM,ai,256,256,1.0,0.07,154424,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/741_adm_111.PNG,741_adm_111.PNG,ADM,ai,256,256,1.0,0.07,176031,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/494_adm_33.PNG,494_adm_33.PNG,ADM,ai,256,256,1.0,0.07,80995,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/45_adm_136.PNG,45_adm_136.PNG,ADM,ai,256,256,1.0,0.07,188829,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/729_adm_85.PNG,729_adm_85.PNG,ADM,ai,256,256,1.0,0.07,65754,PNG
/workspace/AML-3-MVL-AI-Classifier/data/raw/ai/adm/761_adm_162.PNG,761_adm_162.PNG,ADM,ai,256,256,1.0,0.07,117983,PNG
